,Nombre del jugador,Posición,Equipo,Edad,Minutos jugados,Goles anotados,Asistencias anotadas,Goles anotados esperados,Goles encajados (Porteros),Paradas (Porteros),Porterías a cero (Porteros),Goles encajados jugando,Goles encajados esperados,Valor de Mercado,Liga
0,Antonio Adan,1,8,31.0,90.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,1500000,2
1,Santiago Arias,2,8,26.0,1772.0,1.0,1.0,0.4,0.0,0.0,0.0,10.0,19.6,18000000,2
2,Angel Correa,3,8,23.0,1919.0,3.0,2.0,2.2,0.0,0.0,0.0,0.0,0.0,35000000,2
3,Diego Costa,4,8,29.0,1112.0,2.0,2.0,1.7,0.0,0.0,0.0,0.0,0.0,25000000,2
4,Antoine Griezmann,4,8,27.0,3198.0,15.0,8.0,13.9,0.0,0.0,0.0,0.0,0.0,130000000,2
5,Koke,3,8,26.0,2586.0,3.0,5.0,1.5,0.0,0.0,0.0,0.0,0.0,70000000,2
6,Thomas Lemar,3,8,22.0,1817.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,40000000,2
7,Alvaro Morata,4,8,25.0,1083.0,6.0,1.0,6.3,0.0,0.0,0.0,0.0,0.0,50000000,2
8,Saul Niguez,3,8,23.0,2925.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,90000000,2
9,Jan Oblak,1,8,25.0,3330.0,0.0,0.0,0.0,27.0,104.0,20.0,0.0,0.0,100000000,2
10,Stefan Savic,2,8,27.0,1398.0,0.0,2.0,0.7,0.0,0.0,0.0,12.0,15.2,35000000,2
11,Vitolo,3,8,28.0,753.0,0.0,1.0,0.9,0.0,0.0,0.0,0.0,0.0,18000000,2
12,Aritz Aduriz,4,35,37.0,943.0,2.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,1000000,2
13,Yeray Alvarez,2,35,23.0,2613.0,0.0,0.0,1.3,0.0,0.0,0.0,30.0,31.9,25000000,2
14,Mikel Balenziaga,2,35,30.0,523.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.7,2000000,2
15,Yuri Berchiche,2,35,28.0,3120.0,2.0,2.0,1.2,0.0,0.0,0.0,40.0,41.0,20000000,2
16,Ander Capa,2,35,26.0,1642.0,0.0,0.0,0.5,0.0,0.0,0.0,19.0,20.6,3000000,2
17,Inigo Cordoba,4,35,21.0,1321.0,0.0,4.0,1.3,0.0,0.0,0.0,0.0,0.0,4000000,2
18,Benat Etxebarria,3,35,31.0,2031.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,4000000,2
19,Cristian Ganea,2,35,26.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,1000000,2
20,Dani Garcia,3,35,28.0,2476.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000,2
21,Raul Garcia,3,35,32.0,2369.0,9.0,3.0,8.7,0.0,0.0,0.0,0.0,0.0,7500000,2
22,Ibai Gomez,4,35,28.0,580.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,0.0,4000000,2
23,Iago Herrerin,1,35,30.0,2790.0,0.0,1.0,0.0,32.0,55.0,10.0,0.0,0.0,4000000,2
24,Ander Iturraspe,3,35,29.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000,2
25,Kenan Kodro,4,35,24.0,161.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1000000,2
